experience_type,emotion_type,problem_type,situation,speaker,strategy,feedback,content
Current Experience,anxiety,job crisis,"I am looking for an online job for my side job, hard to find one.",speaker,,,watching is fun indeed
Current Experience,anxiety,job crisis,"I am looking for an online job for my side job, hard to find one.",listener,Self-disclosure,,I'm not a major gamer but I just watch for fun
Current Experience,anxiety,job crisis,"I am looking for an online job for my side job, hard to find one.",listener,Other,,Yeah! Well if you don't have anything else I hope you have a good day!
Current Experience,anxiety,job crisis,"I am looking for an online job for my side job, hard to find one.",speaker,,3,I like watching VR kind of game too
Current Experience,anxiety,job crisis,"I am looking for an online job for my side job, hard to find one.",speaker,,,"ok im good, thank you. youtoo
"
Current Experience,sadness,ongoing depression,Covid death and can not get out to help other,speaker,,,hi
Current Experience,sadness,ongoing depression,Covid death and can not get out to help other,listener,Questions,,"Hi! How is life treating you, my friend? "
Current Experience,sadness,ongoing depression,Covid death and can not get out to help other,speaker,,,not good
Current Experience,sadness,ongoing depression,Covid death and can not get out to help other,listener,Questions,,Would you like to talk about your problems? I am happy to listen. 
Current Experience,sadness,ongoing depression,Covid death and can not get out to help other,speaker,,5,friend lost her dad in covid
Current Experience,sadness,ongoing depression,Covid death and can not get out to help other,listener,Reflection of feelings,,"Oh wow that is really bad. It has been such a terrible year, hasn't it? Are you feeling that too? "
Current Experience,sadness,ongoing depression,Covid death and can not get out to help other,speaker,,,yes it is a crazy year
Current Experience,sadness,ongoing depression,Covid death and can not get out to help other,listener,Questions,,Can you think of anything positive to say about it? 
Current Experience,sadness,ongoing depression,Covid death and can not get out to help other,speaker,,1,nothing good about covid Man!
Current Experience,sadness,ongoing depression,Covid death and can not get out to help other,listener,Other,,Well I meant about the year and not the virus 
Current Experience,sadness,ongoing depression,Covid death and can not get out to help other,speaker,,,year is over without so many empty chairs in the houses
Current Experience,sadness,ongoing depression,Covid death and can not get out to help other,listener,Questions,,"Well yes, we can look on the bright side and think that the year is nearly over. Are you looking forward to the New Year? "
Current Experience,sadness,ongoing depression,Covid death and can not get out to help other,speaker,,1,very much so...
Current Experience,sadness,ongoing depression,Covid death and can not get out to help other,listener,Affirmation and Reassurance,,I do feel that things must get better! There is  vaccine now at least. 
Current Experience,sadness,ongoing depression,Covid death and can not get out to help other,speaker,,,vaccine is the best part of it so far
Current Experience,sadness,ongoing depression,Covid death and can not get out to help other,listener,Affirmation and Reassurance,,Yes it is. It is amazing what scientists can do! 
Current Experience,sadness,ongoing depression,Covid death and can not get out to help other,speaker,,1,that is so true 
Current Experience,sadness,ongoing depression,Covid death and can not get out to help other,listener,Questions,,Is there anything else that is on your mind at the moment? How has your holiday season been? 
Current Experience,sadness,ongoing depression,Covid death and can not get out to help other,speaker,,,how about you?
Current Experience,sadness,ongoing depression,Covid death and can not get out to help other,speaker,,,mine is so so
Current Experience,sadness,ongoing depression,Covid death and can not get out to help other,listener,Self-disclosure,,"Well, I have been self isolating so I do feel a bit irritable. I do not think that anyone is in a really good place at the moment. "
Current Experience,sadness,ongoing depression,Covid death and can not get out to help other,speaker,,2,same here
Current Experience,sadness,ongoing depression,Covid death and can not get out to help other,listener,Information,,Did you know that there were charities offering free therapy to people who are suffering right now? 
Current Experience,sadness,ongoing depression,Covid death and can not get out to help other,speaker,,,been stuck in the house since March
Current Experience,sadness,ongoing depression,Covid death and can not get out to help other,speaker,,,no
Current Experience,sadness,ongoing depression,Covid death and can not get out to help other,listener,Providing Suggestions,,They might be able to offer telephone counselling to you. It could really help. 
Current Experience,sadness,ongoing depression,Covid death and can not get out to help other,speaker,,5,really?
Current Experience,sadness,ongoing depression,Covid death and can not get out to help other,listener,Information,,Yes I think so. They are aware that many people are just not able to make it to real life appointments at the moment. 
Current Experience,sadness,ongoing depression,Covid death and can not get out to help other,listener,Providing Suggestions,,Try contacting your GP :) 
Current Experience,sadness,ongoing depression,Covid death and can not get out to help other,speaker,,1,ok
Current Experience,sadness,ongoing depression,Covid death and can not get out to help other,listener,Self-disclosure,,"Anyway I hope I have been able to be of some help to you, although I do feel a little helpless because I cannot heal the world right now "
Current Experience,sadness,ongoing depression,Covid death and can not get out to help other,speaker,,,thanks for your input today
Previous Experience,sadness,breakup with partner,"I was recently dumped, and just before the holidays.I feel so sad and alone like something must be wrong with me.I am just so incredibly sad.",listener,Questions,,How is it that I can help??
Previous Experience,sadness,breakup with partner,"I was recently dumped, and just before the holidays.I feel so sad and alone like something must be wrong with me.I am just so incredibly sad.",speaker,,,I am feeling incredibly sad about a breakup and I don't know how to feel better
Previous Experience,sadness,breakup with partner,"I was recently dumped, and just before the holidays.I feel so sad and alone like something must be wrong with me.I am just so incredibly sad.",listener,Restatement or Paraphrasing,,You just had a breakup? Recently? Today?
Previous Experience,sadness,breakup with partner,"I was recently dumped, and just before the holidays.I feel so sad and alone like something must be wrong with me.I am just so incredibly sad.",speaker,,2,No it was a bit ago
Previous Experience,sadness,breakup with partner,"I was recently dumped, and just before the holidays.I feel so sad and alone like something must be wrong with me.I am just so incredibly sad.",speaker,,,but the feelings are still very strong
Current Experience,fear,job crisis,"I have been out of work on a covid leave (i tested positive)  while i have been out, i applied for pandemic assistance, and was approved, however labor and training has not sent my payout, despite sending me letters and weekly online status saying that i have qualified.I need to pay rent!",speaker,,,Hi.
Current Experience,fear,job crisis,"I have been out of work on a covid leave (i tested positive)  while i have been out, i applied for pandemic assistance, and was approved, however labor and training has not sent my payout, despite sending me letters and weekly online status saying that i have qualified.I need to pay rent!",listener,Restatement or Paraphrasing,,Hi there
Current Experience,fear,job crisis,"I have been out of work on a covid leave (i tested positive)  while i have been out, i applied for pandemic assistance, and was approved, however labor and training has not sent my payout, despite sending me letters and weekly online status saying that i have qualified.I need to pay rent!",listener,Questions,,how are you?
Current Experience,fear,job crisis,"I have been out of work on a covid leave (i tested positive)  while i have been out, i applied for pandemic assistance, and was approved, however labor and training has not sent my payout, despite sending me letters and weekly online status saying that i have qualified.I need to pay rent!",speaker,,3,"Stressed.  How are you?
"
Current Experience,fear,job crisis,"I have been out of work on a covid leave (i tested positive)  while i have been out, i applied for pandemic assistance, and was approved, however labor and training has not sent my payout, despite sending me letters and weekly online status saying that i have qualified.I need to pay rent!",listener,Restatement or Paraphrasing,,Oh I am sorry. I am ok. How may I assist?
Current Experience,fear,job crisis,"I have been out of work on a covid leave (i tested positive)  while i have been out, i applied for pandemic assistance, and was approved, however labor and training has not sent my payout, despite sending me letters and weekly online status saying that i have qualified.I need to pay rent!",speaker,,,"I just need to vent.  I have been out of work due to a positive COVID-19 status.  Thankfully, I have been well enough to quarantine at home instead of a hospital, but I have no income.
"
Current Experience,fear,job crisis,"I have been out of work on a covid leave (i tested positive)  while i have been out, i applied for pandemic assistance, and was approved, however labor and training has not sent my payout, despite sending me letters and weekly online status saying that i have qualified.I need to pay rent!",speaker,,,"I applied for Pandemic Assistance, and Labor and Training approved me, however they have not paid anything despite sending a letter saying I was approved and when I go online, the status shows that I am fine.
"
Current Experience,fear,job crisis,"I have been out of work on a covid leave (i tested positive)  while i have been out, i applied for pandemic assistance, and was approved, however labor and training has not sent my payout, despite sending me letters and weekly online status saying that i have qualified.I need to pay rent!",listener,Affirmation and Reassurance,,I am sorry to hear. This might sound crazy but have you tried becoming a YouTuber or live streamer? How about investing in Bit Coin?
Current Experience,fear,job crisis,"I have been out of work on a covid leave (i tested positive)  while i have been out, i applied for pandemic assistance, and was approved, however labor and training has not sent my payout, despite sending me letters and weekly online status saying that i have qualified.I need to pay rent!",speaker,,1,I don't have the talent set for YouTube (also wrong generation).
Current Experience,fear,job crisis,"I have been out of work on a covid leave (i tested positive)  while i have been out, i applied for pandemic assistance, and was approved, however labor and training has not sent my payout, despite sending me letters and weekly online status saying that i have qualified.I need to pay rent!",listener,Questions,,"For looking for a main job, I would check make your resume stand out. I would start my own business. What do you think?"
Previous Experience,fear,academic pressure,I failed my college class and have to take it again and lost out on thousands of dollars.,speaker,,,"Hello, how are you doing today
"
Previous Experience,fear,academic pressure,I failed my college class and have to take it again and lost out on thousands of dollars.,listener,Questions,,I am doing good. What about you?
Previous Experience,fear,academic pressure,I failed my college class and have to take it again and lost out on thousands of dollars.,speaker,,,"I am glad you are doing well, I am not doing so well myself I just found out that I did not pass my college class for nursing and have to take it again
"
Previous Experience,fear,academic pressure,I failed my college class and have to take it again and lost out on thousands of dollars.,listener,Self-disclosure,,That seems not bad. I also failed in my college examinations. But later I cleared all the papers with the little bit of hardwork.
Previous Experience,fear,academic pressure,I failed my college class and have to take it again and lost out on thousands of dollars.,speaker,,2,"The financial implications have me more concerned as that was few thousand dollar error. 
"
Previous Experience,fear,academic pressure,I failed my college class and have to take it again and lost out on thousands of dollars.,listener,Providing Suggestions,,Why don't you make complaint about this?
Previous Experience,fear,academic pressure,I failed my college class and have to take it again and lost out on thousands of dollars.,speaker,,,"I think a complaint is a good idea, I am worried that this would fall on deaf ears since this is a school of nursing. Do you have any suggestions on how to go about making a complaint?
"
Current Experience,fear,job crisis,I think i'm going to lose my job over a mistake that i made last week.,speaker,,,"Hi, Thanks for talking to me today.  I really needed someone to talk to.
"
Current Experience,fear,job crisis,I think i'm going to lose my job over a mistake that i made last week.,listener,Questions,,"hi there, my pleasure, how may I assist you?
"
Current Experience,fear,job crisis,I think i'm going to lose my job over a mistake that i made last week.,speaker,,,"I'm having a really bad week.  I think when I go back to work after the holidays that I'm going to be fired.
"
Current Experience,fear,job crisis,I think i'm going to lose my job over a mistake that i made last week.,listener,Restatement or Paraphrasing,,"So sorry to hear that. How positive do you think?
"
Current Experience,fear,job crisis,I think i'm going to lose my job over a mistake that i made last week.,speaker,,3,"I made a huge mistake last week and my boss said that I need to come in for a meeting on Monday.
"
Current Experience,fear,job crisis,I think i'm going to lose my job over a mistake that i made last week.,listener,Affirmation and Reassurance,,"I've had that situation in the past. Anytime they fire somebody HR needs to get involved. So if the meeting is just for you and him for small talk, you should be find. and I hope so. "
Current Experience,fear,job crisis,I think i'm going to lose my job over a mistake that i made last week.,speaker,,,"He didn't say who else, if anyone was coming to the meeting.  I just know that he was really mad about my mistake.  And I heard a rumor they were looking to hire a new employee.
"
Current Experience,fear,job crisis,I think i'm going to lose my job over a mistake that i made last week.,listener,Reflection of feelings,,"I understand that you are worried so much,, there will be two more days till Monday. :("
Current Experience,fear,job crisis,I think i'm going to lose my job over a mistake that i made last week.,listener,Affirmation and Reassurance,,"Everybody makes a mistake, and the boss was mad because he was the one to be blamed for."
Current Experience,fear,job crisis,I think i'm going to lose my job over a mistake that i made last week.,speaker,,2,"I know.  That's a lot of time to sit and worry about this. I wish I could get it over with now but the company is closed until Monday.
"
Current Experience,fear,job crisis,I think i'm going to lose my job over a mistake that i made last week.,listener,Reflection of feelings,,Such a bad timing!
Current Experience,fear,job crisis,I think i'm going to lose my job over a mistake that i made last week.,listener,Reflection of feelings,,I don't think he can fire you easily because he is the one responsible for whatever his people have done. 
Current Experience,fear,job crisis,I think i'm going to lose my job over a mistake that i made last week.,speaker,,,"Yes, it is.  I've made quite a few mistakes so I feel like this might be the last straw.
"
Current Experience,fear,job crisis,I think i'm going to lose my job over a mistake that i made last week.,speaker,,2,"I work in an ""at will"" state so you can be fired at any time for anything at all.
"
Current Experience,fear,job crisis,I think i'm going to lose my job over a mistake that i made last week.,listener,Other,,"Your boss did not coach you very good therefore you had to go through this, did he?
"
Current Experience,fear,job crisis,I think i'm going to lose my job over a mistake that i made last week.,speaker,,,"I just think I'm not that great at my job.  I don't blame my boss.
"
Current Experience,fear,job crisis,I think i'm going to lose my job over a mistake that i made last week.,listener,Affirmation and Reassurance,,"I got laid off one time when I worked for a ""at will"" company. It came all of a sudden, he gave a letter describing termination. "
Current Experience,fear,job crisis,I think i'm going to lose my job over a mistake that i made last week.,speaker,,2,"I'm afraid with the way the economy is, I won't find another job and I'll lose my home.
"
Current Experience,fear,job crisis,I think i'm going to lose my job over a mistake that i made last week.,listener,Affirmation and Reassurance,,I would contact your boss if you know his phone number
Current Experience,fear,job crisis,I think i'm going to lose my job over a mistake that i made last week.,speaker,,,"You really think I should bother him with his family on Christmas?
"
Current Experience,fear,job crisis,I think i'm going to lose my job over a mistake that i made last week.,listener,Affirmation and Reassurance,,"I totally understand, now maybe hardest time to find jobs depending on your field"
Current Experience,fear,job crisis,I think i'm going to lose my job over a mistake that i made last week.,speaker,,1,"Yeah my field isn't in high demand right now due to the pandemic.
"
Current Experience,fear,job crisis,I think i'm going to lose my job over a mistake that i made last week.,listener,Other,,"Well, you'r right, after today, maybe tomorrow"
Current Experience,fear,job crisis,I think i'm going to lose my job over a mistake that i made last week.,speaker,,,"I think that might make him more mad if I call him at home.
"
Current Experience,fear,job crisis,I think i'm going to lose my job over a mistake that i made last week.,listener,Affirmation and Reassurance,,"I might want to tell him you do not want to lose your job and just honestly tell him that you are very concerned. If he is a good person, he should give you some advice. "
Current Experience,anger,breakup with partner,My wife left me bro i'm very angry i want to fight someone,speaker,,,"hello
"
Current Experience,anger,breakup with partner,My wife left me bro i'm very angry i want to fight someone,listener,Questions,,"Hello, how are you today? "
Current Experience,anger,breakup with partner,My wife left me bro i'm very angry i want to fight someone,speaker,,,"I am very angry today
"
Current Experience,anger,breakup with partner,My wife left me bro i'm very angry i want to fight someone,speaker,,,"my wife left me
"
Current Experience,anger,breakup with partner,My wife left me bro i'm very angry i want to fight someone,listener,Restatement or Paraphrasing,,"I am really sorry to hear that. So, you have been recently separated and are not dealing well with it? "
Current Experience,anger,breakup with partner,My wife left me bro i'm very angry i want to fight someone,speaker,,5,"yes she was flirting with another man so i shoved him because it was enraging
"
Current Experience,anger,breakup with partner,My wife left me bro i'm very angry i want to fight someone,speaker,,,"so she filed divorced because of that
"
Current Experience,anger,breakup with partner,My wife left me bro i'm very angry i want to fight someone,listener,Questions,,I see. Do you feel that you may have been in the wrong? Perhaps she was not flirting? 
Current Experience,anger,breakup with partner,My wife left me bro i'm very angry i want to fight someone,speaker,,,"no she was flirting, she was saying right in front of me she wanted to sleep with him, etc. all these sexual things. I did not even punch him or hurt him physically, only a shove and he left after that
"
Current Experience,anger,breakup with partner,My wife left me bro i'm very angry i want to fight someone,listener,Reflection of feelings,,"Okay, it sounds as though your wife might have been wanting to leave for a while and might have used this as an excuse, do you think that that is possible? "
Current Experience,anger,breakup with partner,My wife left me bro i'm very angry i want to fight someone,speaker,,5,"Maybe, I don't know, I always bought her nice gifts even though she wasn't very good in bed"
Current Experience,anger,breakup with partner,My wife left me bro i'm very angry i want to fight someone,listener,Affirmation and Reassurance,,Please do not feel bad .. break ups do happen very regularly. 
Current Experience,anger,breakup with partner,My wife left me bro i'm very angry i want to fight someone,listener,Providing Suggestions,,"Hmm, perhaps she felt that you were not very good in bed? Have you considered that maybe that is why she was flirting with other men? "
Current Experience,anger,breakup with partner,My wife left me bro i'm very angry i want to fight someone,listener,Affirmation and Reassurance,,I do realise that it is sometimes difficult for men to realise that things might be their fault. 
Current Experience,anger,breakup with partner,My wife left me bro i'm very angry i want to fight someone,speaker,,5,"No I always see her messages to her friends, always raving about me. Maybe sometimes she got upset that I called her a bitch and said she wasn't very good to her face"
Current Experience,anger,breakup with partner,My wife left me bro i'm very angry i want to fight someone,listener,Restatement or Paraphrasing,,"So, am I to understand that you check your wife's messages? Does she know this? "
Current Experience,anger,breakup with partner,My wife left me bro i'm very angry i want to fight someone,speaker,,,"Sir I do not sexually identify as a man, please use the pronoun Xe when you refer to me"
Current Experience,anger,breakup with partner,My wife left me bro i'm very angry i want to fight someone,listener,Other,,"I do not identify as a man either, given that I am not one. "
Current Experience,anger,breakup with partner,My wife left me bro i'm very angry i want to fight someone,speaker,,5,Well you are giving very good advice but you have to stop using your white privilege and practice being more LGBTQ+ friendly my good friend
Current Experience,anger,breakup with partner,My wife left me bro i'm very angry i want to fight someone,listener,Self-disclosure,,I am not white. Perhaps you should get back on topic and stop making assumptions about me. 
Current Experience,anger,breakup with partner,My wife left me bro i'm very angry i want to fight someone,speaker,,,"Perhaps you should not have offended me and my gender orientation so we did not have to go down this route
"
Current Experience,anger,breakup with partner,My wife left me bro i'm very angry i want to fight someone,listener,Other,,"No, we did not. I do not think that I want to talk to you any more. "
Current Experience,anger,breakup with partner,My wife left me bro i'm very angry i want to fight someone,speaker,,1,"Anyways, yes, my wife left me and I am very angry but I want to apologize for what I did because I think we were a good couple
"
Current Experience,anger,breakup with partner,My wife left me bro i'm very angry i want to fight someone,listener,Other,,"Frankly, it does not seem that way to me. "
Current Experience,anger,breakup with partner,My wife left me bro i'm very angry i want to fight someone,speaker,,,"You have accepted this to help another individual with their problems, I do not see it good that you are not helping other individuals and are rather allowing your own emotions to get to you. It is very rude and I do not want us to be rude to one another as that deviates from the task at hand. Let's put our feelings aside and apologize as grown adults"
Current Experience,anger,breakup with partner,My wife left me bro i'm very angry i want to fight someone,listener,Questions,,"Oh and you said .. she was flirting with 'another man'. So what do you identify as ? 
"
Current Experience,anger,breakup with partner,My wife left me bro i'm very angry i want to fight someone,listener,Other,,"No, I actually think that you are using this platform to lie. I do not think that you are a member of the LGBT community. "
Current Experience,anger,breakup with partner,My wife left me bro i'm very angry i want to fight someone,speaker,,1,Yes I said another man so you'd have a point of reference to know that it was another individual that she was flirting with
Current Experience,anger,breakup with partner,My wife left me bro i'm very angry i want to fight someone,speaker,,,"You are offending me greatly, first you assume my gender, then you say I am lying and not part of this beautiful community and you have refused to apologize even once"
Current Experience,anger,breakup with partner,My wife left me bro i'm very angry i want to fight someone,listener,Other,,I really can't be bothered with this. You're taking the piss out of a community that you are not a part of. 
Current Experience,anger,breakup with partner,My wife left me bro i'm very angry i want to fight someone,speaker,,,"You are being very rude right now, I only want us to apologize and move forward with the problem at hand."
Current Experience,anxiety,job crisis,"The covid pandemic has put a lot of pressure in our restaurant and hours have been cut.Regardless of that, the workload has increased and my coworkers have been more careless than usual.The manager quit and i was ""promoted"" but without a pay raise.It's an unfair situation but i can't fix it nor quit.",listener,Information,,"hai
"
Current Experience,anxiety,job crisis,"The covid pandemic has put a lot of pressure in our restaurant and hours have been cut.Regardless of that, the workload has increased and my coworkers have been more careless than usual.The manager quit and i was ""promoted"" but without a pay raise.It's an unfair situation but i can't fix it nor quit.",speaker,,,"Hello
"
Current Experience,anxiety,job crisis,"The covid pandemic has put a lot of pressure in our restaurant and hours have been cut.Regardless of that, the workload has increased and my coworkers have been more careless than usual.The manager quit and i was ""promoted"" but without a pay raise.It's an unfair situation but i can't fix it nor quit.",listener,Questions,,your good name?
Current Experience,anxiety,job crisis,"The covid pandemic has put a lot of pressure in our restaurant and hours have been cut.Regardless of that, the workload has increased and my coworkers have been more careless than usual.The manager quit and i was ""promoted"" but without a pay raise.It's an unfair situation but i can't fix it nor quit.",speaker,,2,What do you mean?
Current Experience,anxiety,job crisis,"The covid pandemic has put a lot of pressure in our restaurant and hours have been cut.Regardless of that, the workload has increased and my coworkers have been more careless than usual.The manager quit and i was ""promoted"" but without a pay raise.It's an unfair situation but i can't fix it nor quit.",listener,Questions,,are you there?
Current Experience,anxiety,job crisis,"The covid pandemic has put a lot of pressure in our restaurant and hours have been cut.Regardless of that, the workload has increased and my coworkers have been more careless than usual.The manager quit and i was ""promoted"" but without a pay raise.It's an unfair situation but i can't fix it nor quit.",speaker,,,"I'm here. At home.
"
Current Experience,anxiety,job crisis,"The covid pandemic has put a lot of pressure in our restaurant and hours have been cut.Regardless of that, the workload has increased and my coworkers have been more careless than usual.The manager quit and i was ""promoted"" but without a pay raise.It's an unfair situation but i can't fix it nor quit.",speaker,,,"Having my christmas dinner alone.
"
Current Experience,anxiety,job crisis,"The covid pandemic has put a lot of pressure in our restaurant and hours have been cut.Regardless of that, the workload has increased and my coworkers have been more careless than usual.The manager quit and i was ""promoted"" but without a pay raise.It's an unfair situation but i can't fix it nor quit.",listener,Self-disclosure,,wish you marry Christmas
Current Experience,anxiety,job crisis,"The covid pandemic has put a lot of pressure in our restaurant and hours have been cut.Regardless of that, the workload has increased and my coworkers have been more careless than usual.The manager quit and i was ""promoted"" but without a pay raise.It's an unfair situation but i can't fix it nor quit.",listener,Affirmation and Reassurance,,enjoy  our Christmas calibration
Current Experience,anxiety,job crisis,"The covid pandemic has put a lot of pressure in our restaurant and hours have been cut.Regardless of that, the workload has increased and my coworkers have been more careless than usual.The manager quit and i was ""promoted"" but without a pay raise.It's an unfair situation but i can't fix it nor quit.",speaker,,2,"Yeah, about that. I had to work this morning and will have to go back to work again tonight. I couldn't join my family's celebration because of that!
"
Current Experience,anxiety,job crisis,"The covid pandemic has put a lot of pressure in our restaurant and hours have been cut.Regardless of that, the workload has increased and my coworkers have been more careless than usual.The manager quit and i was ""promoted"" but without a pay raise.It's an unfair situation but i can't fix it nor quit.",listener,Self-disclosure,,well done
Current Experience,anxiety,job crisis,"The covid pandemic has put a lot of pressure in our restaurant and hours have been cut.Regardless of that, the workload has increased and my coworkers have been more careless than usual.The manager quit and i was ""promoted"" but without a pay raise.It's an unfair situation but i can't fix it nor quit.",speaker,,,"What do you mean well done?
"
Current Experience,anxiety,job crisis,"The covid pandemic has put a lot of pressure in our restaurant and hours have been cut.Regardless of that, the workload has increased and my coworkers have been more careless than usual.The manager quit and i was ""promoted"" but without a pay raise.It's an unfair situation but i can't fix it nor quit.",listener,Affirmation and Reassurance,,thanks for chat.
Current Experience,anxiety,job crisis,"The covid pandemic has put a lot of pressure in our restaurant and hours have been cut.Regardless of that, the workload has increased and my coworkers have been more careless than usual.The manager quit and i was ""promoted"" but without a pay raise.It's an unfair situation but i can't fix it nor quit.",listener,Providing Suggestions,,carry on your work.
Current Experience,anxiety,job crisis,"The covid pandemic has put a lot of pressure in our restaurant and hours have been cut.Regardless of that, the workload has increased and my coworkers have been more careless than usual.The manager quit and i was ""promoted"" but without a pay raise.It's an unfair situation but i can't fix it nor quit.",speaker,,2,You are a bad supporter!
Current Experience,anxiety,job crisis,"The covid pandemic has put a lot of pressure in our restaurant and hours have been cut.Regardless of that, the workload has increased and my coworkers have been more careless than usual.The manager quit and i was ""promoted"" but without a pay raise.It's an unfair situation but i can't fix it nor quit.",listener,Questions,,why?
Current Experience,anxiety,job crisis,"The covid pandemic has put a lot of pressure in our restaurant and hours have been cut.Regardless of that, the workload has increased and my coworkers have been more careless than usual.The manager quit and i was ""promoted"" but without a pay raise.It's an unfair situation but i can't fix it nor quit.",speaker,,,"You have no empathy for my situation!
"
Current Experience,anxiety,job crisis,"The covid pandemic has put a lot of pressure in our restaurant and hours have been cut.Regardless of that, the workload has increased and my coworkers have been more careless than usual.The manager quit and i was ""promoted"" but without a pay raise.It's an unfair situation but i can't fix it nor quit.",speaker,,,"I don't know what's the point of talking to you.
"
Current Experience,anxiety,job crisis,"The covid pandemic has put a lot of pressure in our restaurant and hours have been cut.Regardless of that, the workload has increased and my coworkers have been more careless than usual.The manager quit and i was ""promoted"" but without a pay raise.It's an unfair situation but i can't fix it nor quit.",listener,Information,,sorry for your situation. carry on your work
Current Experience,anxiety,job crisis,"The covid pandemic has put a lot of pressure in our restaurant and hours have been cut.Regardless of that, the workload has increased and my coworkers have been more careless than usual.The manager quit and i was ""promoted"" but without a pay raise.It's an unfair situation but i can't fix it nor quit.",speaker,,2,I think my dog would be more empathetic than you.
Current Experience,anxiety,job crisis,"The covid pandemic has put a lot of pressure in our restaurant and hours have been cut.Regardless of that, the workload has increased and my coworkers have been more careless than usual.The manager quit and i was ""promoted"" but without a pay raise.It's an unfair situation but i can't fix it nor quit.",speaker,,,"I knew this wouldn't work.
"
Current Experience,anxiety,job crisis,"The covid pandemic has put a lot of pressure in our restaurant and hours have been cut.Regardless of that, the workload has increased and my coworkers have been more careless than usual.The manager quit and i was ""promoted"" but without a pay raise.It's an unfair situation but i can't fix it nor quit.",listener,Reflection of feelings,,why to compare your dog for me. 
Current Experience,anxiety,job crisis,"The covid pandemic has put a lot of pressure in our restaurant and hours have been cut.Regardless of that, the workload has increased and my coworkers have been more careless than usual.The manager quit and i was ""promoted"" but without a pay raise.It's an unfair situation but i can't fix it nor quit.",speaker,,,"I was not comparing you as a person but the emotional support that you provide.
"
Current Experience,anxiety,job crisis,"The covid pandemic has put a lot of pressure in our restaurant and hours have been cut.Regardless of that, the workload has increased and my coworkers have been more careless than usual.The manager quit and i was ""promoted"" but without a pay raise.It's an unfair situation but i can't fix it nor quit.",listener,Affirmation and Reassurance,,"ok.
"
Current Experience,anxiety,job crisis,"The covid pandemic has put a lot of pressure in our restaurant and hours have been cut.Regardless of that, the workload has increased and my coworkers have been more careless than usual.The manager quit and i was ""promoted"" but without a pay raise.It's an unfair situation but i can't fix it nor quit.",listener,Self-disclosure,,let finish it.
Current Experience,sadness,ongoing depression,My phone got stolen last night and it sucked,speaker,,,"hi
"
Current Experience,sadness,ongoing depression,My phone got stolen last night and it sucked,speaker,,,"are you there?
"
Current Experience,sadness,ongoing depression,My phone got stolen last night and it sucked,listener,Questions,,"Yes, how are you?"
Current Experience,sadness,ongoing depression,My phone got stolen last night and it sucked,speaker,,,"I'm ok, a bit sad
"
Current Experience,sadness,ongoing depression,My phone got stolen last night and it sucked,listener,Questions,,why?
Current Experience,sadness,ongoing depression,My phone got stolen last night and it sucked,speaker,,2,"my phone was stolen yesterday
"
Current Experience,sadness,ongoing depression,My phone got stolen last night and it sucked,listener,Restatement or Paraphrasing,,Oh! I am sorry to hear that
Current Experience,sadness,ongoing depression,My phone got stolen last night and it sucked,speaker,,,"yea it really sucked
"
Current Experience,sadness,ongoing depression,My phone got stolen last night and it sucked,listener,Restatement or Paraphrasing,,I would be sad if it happen to me
Current Experience,sadness,ongoing depression,My phone got stolen last night and it sucked,listener,Restatement or Paraphrasing,,as well
Current Experience,sadness,ongoing depression,My phone got stolen last night and it sucked,listener,Questions,,what kind of phone was it?
Current Experience,sadness,ongoing depression,My phone got stolen last night and it sucked,speaker,,4,"yea, it was a weird situation. I left my phone on top of my car at a gas station and it fell when I drove away. but when I returned, it was gone and the person had turned it off so I couldn't track it 
"
Current Experience,sadness,ongoing depression,My phone got stolen last night and it sucked,speaker,,,"an iphone i bought only 2 months ago
"
Current Experience,sadness,ongoing depression,My phone got stolen last night and it sucked,listener,Restatement or Paraphrasing,,Oh! it really sucks
Current Experience,sadness,ongoing depression,My phone got stolen last night and it sucked,speaker,,,"yea it does. I had to replace it today
"
Current Experience,sadness,ongoing depression,My phone got stolen last night and it sucked,speaker,,,"I am grateful that I was able to replace it quickly
"
Current Experience,sadness,ongoing depression,My phone got stolen last night and it sucked,listener,Providing Suggestions,,I hope someone will turn it on so that you could track it
Current Experience,sadness,ongoing depression,My phone got stolen last night and it sucked,speaker,,3,"yea that would be nice. I dont think itwill happen, but i reported it stolen and I had it blocked and everything

"
Current Experience,sadness,ongoing depression,My phone got stolen last night and it sucked,listener,Reflection of feelings,,that's a great step you took
Current Experience,sadness,ongoing depression,My phone got stolen last night and it sucked,speaker,,,"yea, it was actually pretty easy to replace
"
Current Experience,sadness,ongoing depression,My phone got stolen last night and it sucked,listener,Providing Suggestions,,I hope you will find your phone soon
Current Experience,sadness,ongoing depression,My phone got stolen last night and it sucked,speaker,,2,"thanks
"
Current Experience,sadness,ongoing depression,My phone got stolen last night and it sucked,listener,Providing Suggestions,,We can't think a day without a phone now a days
Current Experience,sadness,ongoing depression,My phone got stolen last night and it sucked,speaker,,,"how aer you?
"
Current Experience,sadness,ongoing depression,My phone got stolen last night and it sucked,speaker,,,"yea, i was without it for a while todayand it was weird
"
Current Experience,sadness,ongoing depression,My phone got stolen last night and it sucked,listener,Providing Suggestions,,sorry about that
Current Experience,sadness,ongoing depression,My phone got stolen last night and it sucked,listener,Self-disclosure,,it is snowing in my area
Current Experience,sadness,ongoing depression,My phone got stolen last night and it sucked,listener,Affirmation and Reassurance,,seems like we might have a white Christmas
